ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,grow
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,aerobic,0.7208607292289301
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,aerobic,0.7417647058823529
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,aerobic,0.6659908768373036
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,aerobic,0.30764705882352944
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,aerobic,0.3805882352941177
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,0.9977106227106224
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,0.3752941176470588
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,0.7671469740634007
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,0.2728937728937729
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,aerobic,0.7208607292289301
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,aerobic,0.7417647058823529
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,aerobic,0.6659908768373036
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,aerobic,0.30764705882352944
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,aerobic,0.3805882352941177
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,0.9977106227106224
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,0.3752941176470588
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,0.7671469740634007
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,aerobic,0.2728937728937729
